1.019999999999999929e+01,1.119999999999999929e+01,1.219999999999999929e+01,1.319999999999999929e+01,1.419999999999999929e+01,1.519999999999999929e+01,1.619999999999999929e+01,1.719999999999999929e+01,1.819999999999999929e+01,1.919999999999999929e+01
1.030000000000000071e+01,1.130000000000000071e+01,1.230000000000000071e+01,1.330000000000000071e+01,1.430000000000000071e+01,1.530000000000000071e+01,1.630000000000000071e+01,1.730000000000000071e+01,1.830000000000000071e+01,1.930000000000000071e+01
1.040000000000000036e+01,1.140000000000000036e+01,1.240000000000000036e+01,1.340000000000000036e+01,1.440000000000000036e+01,1.540000000000000036e+01,1.639999999999999858e+01,1.739999999999999858e+01,1.839999999999999858e+01,1.939999999999999858e+01
1.050000000000000000e+01,1.150000000000000000e+01,1.250000000000000000e+01,1.350000000000000000e+01,1.450000000000000000e+01,1.550000000000000000e+01,1.650000000000000000e+01,1.750000000000000000e+01,1.850000000000000000e+01,1.950000000000000000e+01
2.019999999999999929e+01,2.119999999999999929e+01,2.219999999999999929e+01,2.319999999999999929e+01,2.419999999999999929e+01,2.519999999999999929e+01,2.619999999999999929e+01,2.719999999999999929e+01,2.819999999999999929e+01,2.919999999999999929e+01
2.030000000000000071e+01,2.130000000000000071e+01,2.230000000000000071e+01,2.330000000000000071e+01,2.430000000000000071e+01,2.530000000000000071e+01,2.630000000000000071e+01,2.730000000000000071e+01,2.830000000000000071e+01,2.930000000000000071e+01
2.039999999999999858e+01,2.139999999999999858e+01,2.239999999999999858e+01,2.339999999999999858e+01,2.439999999999999858e+01,2.539999999999999858e+01,2.639999999999999858e+01,2.739999999999999858e+01,2.839999999999999858e+01,2.939999999999999858e+01
2.050000000000000000e+01,2.150000000000000000e+01,2.250000000000000000e+01,2.350000000000000000e+01,2.450000000000000000e+01,2.550000000000000000e+01,2.650000000000000000e+01,2.750000000000000000e+01,2.850000000000000000e+01,2.950000000000000000e+01
3.019999999999999929e+01,3.119999999999999929e+01,3.220000000000000284e+01,3.320000000000000284e+01,3.420000000000000284e+01,3.520000000000000284e+01,3.620000000000000284e+01,3.720000000000000284e+01,3.820000000000000284e+01,3.920000000000000284e+01
3.030000000000000071e+01,3.130000000000000071e+01,3.229999999999999716e+01,3.329999999999999716e+01,3.429999999999999716e+01,3.529999999999999716e+01,3.629999999999999716e+01,3.729999999999999716e+01,3.829999999999999716e+01,3.929999999999999716e+01
3.039999999999999858e+01,3.139999999999999858e+01,3.239999999999999858e+01,3.339999999999999858e+01,3.439999999999999858e+01,3.539999999999999858e+01,3.639999999999999858e+01,3.739999999999999858e+01,3.839999999999999858e+01,3.939999999999999858e+01
3.050000000000000000e+01,3.150000000000000000e+01,3.250000000000000000e+01,3.350000000000000000e+01,3.450000000000000000e+01,3.550000000000000000e+01,3.650000000000000000e+01,3.750000000000000000e+01,3.850000000000000000e+01,3.950000000000000000e+01
4.020000000000000284e+01,4.120000000000000284e+01,4.220000000000000284e+01,4.320000000000000284e+01,4.420000000000000284e+01,4.520000000000000284e+01,4.620000000000000284e+01,4.720000000000000284e+01,4.820000000000000284e+01,4.920000000000000284e+01
4.029999999999999716e+01,4.129999999999999716e+01,4.229999999999999716e+01,4.329999999999999716e+01,4.429999999999999716e+01,4.529999999999999716e+01,4.629999999999999716e+01,4.729999999999999716e+01,4.829999999999999716e+01,4.929999999999999716e+01
4.039999999999999858e+01,4.139999999999999858e+01,4.239999999999999858e+01,4.339999999999999858e+01,4.439999999999999858e+01,4.539999999999999858e+01,4.639999999999999858e+01,4.739999999999999858e+01,4.839999999999999858e+01,4.939999999999999858e+01
4.050000000000000000e+01,4.150000000000000000e+01,4.250000000000000000e+01,4.350000000000000000e+01,4.450000000000000000e+01,4.550000000000000000e+01,4.650000000000000000e+01,4.750000000000000000e+01,4.850000000000000000e+01,4.950000000000000000e+01
